"Proper Name","Designation","HIP","Bayer ID","Constellation","Origin","Ethnic-Cultural_Group_or_Language","Reference","Additional info, e.g. constellation","Date of Adoption"
"Bosona","HD 206610","107251","","Aqr","Bosona is the name given to the territory of Bosnia in the 10th century. Later, the name was transformed to Bosnia originating from the name of the Bosna river.","NEWC","2019 IAU100 NameExoWorlds","Aquarius","17/12/2019"
"Botein","HR 951","14838","δ Ari","Ari","Applied in recent times from the ind-A lunar mansion name al-butain, ""the Little Belly"", for δ, ϵ and ρ Ari.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Aries","12/09/2016"
"Brachium","HR 5603","73714","σ Lib","Lib","","Graeco-Latin","--","Libra","05/09/2017"
"Bubup","HD 38283","26380","","Men","Bubup is the Boonwurrung word for child.","Boonwurrung","2019 IAU100 NameExoWorlds","Mensa","17/12/2019"
"Buna","HD 16175","12191","","And","Buna is the commonly used word for coffee in Ethiopia.","Ethiopic","2019 IAU100 NameExoWorlds","Andromeda","17/12/2019"
"Bunda","HR 8264","106786","ξ Aqr","Aqr","","unknown","--","Aquarius","01/06/2018"
"Bélénos","HD 8574","6643","","Psc","Bélénos was the god of light, of the Sun, and of health in Gaulish mythology.","French","2019 IAU100 NameExoWorlds","Pisces","17/12/2019"
"Canopus","HR 2326","30438","α Car","Car","From its ancient Greek name Κάνωβος (Ptolemy's spelling), an untranslated proper name that was introduced rather late into Greek astronomy (perhaps in the 2nd century BCE). There seem to be Egyptian influences in the name's development. Reapplied in Renaissance times.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Carina","30/06/2016"
"Capella","HR 1708","24608","α Aur","Aur","Its ancient Roman name meaning ""the She-goat"" (but more commonly given, in antiquity, as Capra), after the star's Greek name αίξ, ""the Goat"". Reapplied in recent times. The Roman names Capella, Aselli (for γ/ δ Cnc), and others in the diminutive form (also in Greek), are likely meant to indicate an atypical use of words, as an animal's name given to a star instead of to the animal (rather than meaning ""small"" animals or personages).","Latin","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Auriga","30/06/2016"
"Caph","HR 21","746","β Cas","Cas","Applied in recent times from an abbreviation of its ind-A name al-kaff al-khadib ""the Stained Hand,"" alternatively and more correctly used for all the brighter stars of today's Cassiopeia (probably α, β, γ, δ, and ε). The ind-A figure here represented a hand with its finger-tips stained reddish-brown in the traditional Eastern way using henna leaves. al-kaff al-khatdib, in turn, was part of the larger ind-A asterism kaff althurayya al-yumna al-mabsuta, ""the Outstretched Right Hand of the Pleiades."" The latter extended from today's Taurus through Perseus into Cassiopeia. A second hand (the Pleiades were a ""head"" from which two arms or hands radiated) was al-kaff al-jadhma', ""the Amputated Hand,"" in today's Cetus.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Cassiopeia","30/06/2016"
"Castor","HR 2891","36850","α Gem","Gem","From its ancient Greek name Κάστωρ, a character in Greek mythology, the twin of Pollux (β Gem). Reapplied in Renaissance times.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Gemini","30/06/2016"
"Castula","HR 265","4422","υ2 Cas","Cas","Castula is Latin for a type of woman's tunic. Bayer (1603, Uranometria) attributes the name ""castulum"" to Nonius (Portugese scholar Pedro Nunez, 1502-1578), with the Greek alias ταινίαν for a ribbon.","Latin","Johann Bayer (1603). Uranometria.","Cassiopeia","05/09/2017"
"Cebalrai","HR 6603","86742","β Oph","Oph","Applied in recent times from its ind-A name kalb al-ra'i, ""the Shepherd's Dog"" (in other traditions α Her and 28/29 Cep are given the same name). This dog, together with the shepherd (marked by α Oph), and the two lines of stars enclosing the Pasture, and all the dim stellar sheep in that portion of the sky (al-ghanam or al-aghnam for the sheep), seem to form a complete group of ind-A figures.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Ophiuchus","21/08/2016"
"Ceibo","HD 63454","37284","","Cha","Ceibo is the name of the native tree of Uruguay that gives rise to the national flower.","Spanish","2019 IAU100 NameExoWorlds","","17/12/2019"
"Celaeno","HR 1140","17489","16 Tau","Tau","These names were individually applied in Renaissance times from a family of characters in Greek mythology: Atlas, Pleione and their seven daughters, the Pleiades.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Taurus","21/08/2016"
"Cervantes","HR 6585","86796","μ Ara","Ara","Miguel de Cervantes Saavedra (1547-1616) was a famous Spanish writer and author of ""El Ingenioso Hidalgo Don Quixote de la Mancha"".","Spanish","2015 NameExoWorlds","Ara","15/12/2015"
"Chalawan","HR 4277","53721","47 UMa","UMa","Chalawan is a mythological crocodile king from a Thai folktale.","Thai","2015 NameExoWorlds","Ursa Major","15/12/2015"
"Chamukuy","HR 1412","20894","θ2 Tau","Tau","The Yucatec Maya identify Theta Tauri as chamukuy, the name of a small bird.","Yucatec","Milbrath, Susan (1999). Star Gods of the Maya. p.253.; Sosa, John (1985). The Maya Sky, the Maya World: A Symbolic Analysis of Yucatec Maya Cosmology. p.341.","Taurus","05/09/2017"
"Chaophraya","WASP-50","0","","Eri","Chao Phraya is the great river of Thailand.","Thai","2019 IAU100 NameExoWorlds","Eridanus","17/12/2019"
"Chara","HR 4785","61317","β CVn","CVn","Applied in Renaissance times from the Greek word χαρά, ""joy"", that was used by Hevelius in 1690 to name the southern dog (marked by α and β CVn) in his new constellation Canes Vanatici.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Canes Venatici","20/07/2016"
"Chasoň","HAT-P-5","0","","Lyr","Chasoň is an ancient Slovak term for Sun.","Slovakian","2019 IAU100 NameExoWorlds","Lyra","17/12/2019"
"Chechia","HD 192699","99894","","Aql","Chechia is a flat-surfaced, traditional red wool hat worn by men and women, symbolising the country's rich traditions and is considered as the national headdress for in Tunisia.","Tunisian Arabic","2019 IAU100 NameExoWorlds","Aquila","17/12/2019"
"Chertan","HR 4359","54879","θ Leo","Leo","Applied in recent times from one spelling of the ind-A lunar mansion name al-khurtan, ""the Two Small Ribs (at or near the breast),"" for δ and θ Leo. The more common and apparently correct spelling of the lunar mansion name is al-kharatan, of unknown meaning.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Leo","20/07/2016"
"Citadelle","HD 1502","1547","","Psc","The Citadelle is a large mountaintop fortress in Nord, Haiti built after Haiti's independence, and was designated a UNESCO World Heritage site along with the nearby Sans-Souci Palace.","French","2019 IAU100 NameExoWorlds","Pisces","17/12/2019"
"Citalá","HD 52265","33719","","Mon","Citalá means River of stars in the native Nahuat language.","Nawat language","2019 IAU100 NameExoWorlds","Monoceros","17/12/2019"
"Cocibolca","HD 4208","3479","","Scl","Cocibolca is the Nahualt name for the largest lake in Central America in Nicaragua.","Spanish","2019 IAU100 NameExoWorlds","","17/12/2019"
"Copernicus","HR 3522","43587","55 Cnc","Cnc","Nicolaus Copernicus or Mikolaj Kopernik (1473-1543) was a Polish astronomer who proposed the heliocentric model of the solar system in his book ""De revolutionibus orbium coelestium"".","Latin","2015 NameExoWorlds","Cancer","20/07/2016"
"Cor Caroli","HR 4915","63125","α2 CVn","CVn","The name first appeared in 1673 on the northern half of a pair of celestial hemispheres that accompanied a book called Astroscopium by the English cartographer Francis Lamb. He labelled the star Cor Caroli Regis Martyris, a reference to the fact that King Charles I was beheaded, or ‘martyred’, as Lamb loyally put it (Charles had declared himself ‘martyr of the people’ at his execution).","Latin","Lamb, Francis (1673). Astroscopium, or, Two hemispheres containing all the northern and southern constellations projected upon the poles of the world : which (by the help of a movable horizon) are rendred serviceable in any latitude : the uses of which hemispheres are illustrated by variety of examples.","Canes Venatici","20/07/2016"
"Cujam","HR 6117","80463","ω Her","Her","From the Latin word caiam, ""club"" (in the accusative case), supposedly used in a classical poem alluding to the mythological figure Hercules, not the constellation. The word was applied as a star name in Renaissance times.","Latin","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","It should be correctly spelled ""Caia"", in the nominative case.","01/02/2017"
"Cursa","HR 1666","23875","β Eri","Eri","Applied in recent times from an abbreviation of the ind-A asterism name kursiy al-jauza' al-muqaddam, ""the Foremost footstool of aljauza' [today's Orion],"" for λ, β and ψ Eri, and τ Ori.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Eri","20/07/2016"
"Dabih","HR 7776","100345","β1 Cap","Cap","Applied in recent times from the ind-A lunar mansion name sa'd aldhabih, for α and β Cap. Possible meanings for the name are ""the Lucky (Stars) of the Slaughterer,"" or, ""Sa'd, the Slaughtering One"" (this last using Sa'd as an unspecified proper name). However the exact historical connections are unknown.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Cap","21/08/2016"
"Dalim","HR 963","14879","α For","For","","--","--","","05/09/2017"
"Danfeng","L 168-9","","","Tuc","Danfeng (丹凤) refers to the red phoenix, a sacred bird symbolising good fortune in ancient Chinese legend.","Chinese (Simplified)","NEWC China: Mythological birds of ancient China.","","01/08/2023"
"Deneb","HR 7924","102098","α Cyg","Cyg","""Tail"" in Arabic","Arabic","","Cyg","30/06/2016"
"Deneb Algedi","HR 8322","107556","δ Cap","Cap","""Tail of the Goat"" in Arabic","Arabic","","","01/02/2017"
"Denebola","HR 4534","57632","β Leo","Leo","Applied with various spellings since medieval times, from its sci-A name dhanab al-asad, ""the Lion's Tail.""","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Leo","30/06/2016"
"Diadem","HR 4968","64241","α Com","Com","","Contemporary","--","","01/02/2017"
"Dilmun","WASP-121","","","Pup","Dilmun was the Sumerian name of an ancient civilisation of the Bahrain archipelago and the eastern Arabian Peninsula.","Sumerian and Greek","NEWC Bahrain: Names of ancient civilisations or places associated with the Bahrain archipelago.","","01/08/2023"
"Dingolay","HD 96063","54158","","Leo","Dingolay means to dance, twist and turn in elaborate movements, symbolising the culture and language of the ancestors of the people of Trinidad and Tobago.","English","2019 IAU100 NameExoWorlds","","17/12/2019"
"Diphda","HR 188","3419","β Cet","Cet","Applied in recent times from an abbreviation of its ind-A name al-difdi' al-thani, ""the Second Frog"" (a PsA was the ind-Arabs' ""First Frog,"" al-difdi' al-awwal).","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Cet","21/08/2016"
"Diya","WASP-72","0","","For","Diya is an oil lamp that is brought by Indian ancestors to Mauritius in the 1820's, and is used for lighting during special occasions, including the light festival of Diwali.","Hindi","2019 IAU100 NameExoWorlds","","17/12/2019"
"Dofida","HD 117618","66047","","UMa","Dofida means our star in Nias language.","Nias language","2019 IAU100 NameExoWorlds","","17/12/2019"
"Dombay","HAT-P-3","0","","UMa","Dombay is a resort region in the North Caucasus mountains that is enclosed by mountain forests and rich wildlife, including bears (as this star lies in the constellation Ursa Major, the great bear).","Russian","2019 IAU100 NameExoWorlds","","17/12/2019"
"Dschubba","HR 5953","78401","δ Sco","Sco","Applied in recent times from an abbreviation of the sci-A name jabhat al-'aqrab, ""the Scorpion's Forehead,"" for β, δ, and π Sco.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Sco","21/08/2016"
"Dubhe","HR 4301","54061","α UMa","UMa","Applied in medieval times from the sci-A constellation name al-dubb, ""the Bear,"" for Ursa Major. The spelling in the oldest sources was edubh (corresponding to the Arabic noun with the article al prefixed as e).  Afterwards, by corruption, the initial e was transferred to the end of the word: dubhe.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","UMa","30/06/2016"
"Dziban","HR 6636","86614","ψ1 Dra","Dra","","--","--","","05/09/2017"
"Dìwö","WASP-17","0","","Sco","Dìwö in Bribri language means the sun (bigger than the sun we know) and that never turns off.","Bribri","2019 IAU100 NameExoWorlds","","17/12/2019"
"Ebla","HAT-P-3","114322","","Psc","Ebla was one of the earliest kingdoms in Syria, and served as a prominent region in the 2nd and 3rd millenia B.C.","NEWC","2019 IAU100 NameExoWorlds","","17/12/2019"
"Edasich","HR 5744","75458","ι Dra","Dra","Applied in recent times from its ind-A name al-dhikh, ""the Male Hyena.""","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Dra","15/12/2015"
"Electra","HR 1142","17499","17 Tau","Tau","These names were individually applied in Renaissance times from a family of characters in Greek mythology: Atlas, Pleione and their seven daughters, the Pleiades.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","21/08/2016"
"Elgafar","HR 5409","70755","ϕ Vir","Vir","","Arabic","--","","01/06/2018"
"Elkurud","HR 2177","29034","θ Col","Col","","Arabic","--","","01/06/2018"
"Elnath","HR 1791","25428","β Tau","Tau","","Arabic","--","Tau","20/07/2016"
"Eltanin","HR 6705","87833","γ Dra","Dra","From the ind-A name al-nath, ""the Butting (with the horns),"" an alternative name for the 1st lunar mansion al-sharatan consisting of β and γ Ari. Some late Arabic authors also applied al-nath as a star name to a Ari. In recent times the name, as ""Nath,"" was wrongly  transferred to β Tau, and subsequently it was completed to ""Elnath"" (adding the Arabic definite article).","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Dra","21/08/2016"
"Emiw","HD 7199","5529","","Tuc","Emiw represents love in the local Makhuwa language of the northern region of Mozambique.","Makhuwa","2019 IAU100 NameExoWorlds","","17/12/2019"
"Enif","HR 8308","107315","ε Peg","Peg","Applied in medieval times, evidently from the Arabic word anf, ""nose"" (Ptolemy had described this star on the horse's ""muzzle""). However, sci-A sources do not mention anf for ε Peg, only other terms, hence the ultimate origin of ""Enif"" remains uncertain.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Peg","20/07/2016"
"Errai","HR 8974","116727","γ Cep","Cep","Applied in recent times from its ind-A name al-ra'i, ""the Shepherd"". This shepherd, with the sheep he attended (al-aghnam, marked by the various dim stars nearby), and the shepherd's dog (kalb al-ra'i,marked by 28/29 [ρ] Cep), seem to form a complete group of ind-A figures.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Cep","15/12/2015"
"Fafnir","HR 6945","90344","42 Dra","Dra","Fafnir was a Norse mythological dwarf who turned into a dragon.","Old Norse","2015 NameExoWorlds","","15/12/2015"
"Fang","HR 5944","78265","π Sco","Sco","determinitive star of lunar mansion Fang (The Room) whose naming constellation constists of 4 stars according to sources back to the 3rd millennium BCE.","Chinese","Lunar Mansion","","30/06/2017"
"Fawaris","HR 7528","97165","δ Cyg","Cyg","","--","--","","01/06/2018"
"Felis","HR 3923","48615","","Hya","Felis (The Cat) is the name of a constellation invented by Lalande. The name is applied to one star in the area that the constellation covered.","Latin","http://www.ianridpath.com/startales/felis.html","","01/06/2018"
"Felixvarela","BD-17 63","2247","","Cet","Felix Varela (1788–1853) was the first to teach science in Cuba at the San Carlos and San Ambrosio Seminary. He opened the way to education for all, and began the experimental teaching of physics in Cuba.","NEWC","2019 IAU100 NameExoWorlds","","17/12/2019"
"Filetdor","WASP-166","","","Hya","""Filet d'Or"" refers to a golden sea serpent, the protagonist in the Mallorcan folktale (rondalla) ""Na Filet d'Or"".","Catalan","NEWC Spain: Characters in the Catalan dialect from Mallorcan folktales as recorded in ""Aplec de Rondaies Mallorquines d'en Jordi d'es Racó"" by Mallorcan writer Antoni Maria Alcover i Sureda (1862-1932).","","01/08/2023"
"Flegetonte","HD 102195","57370","","Vir","Flegetonte is the underworld river of fire from Greek Mythology in the Italian narrative poem on the afterlife ""Divina Commedia"" (Divine Commedy) by Dante Alighieri, chosen as an allusion to the star's fiery nature.","Italian","2019 IAU100 NameExoWorlds","","17/12/2019"
"Fomalhaut","HR 8728","113368","α PsA","PsA","Applied with various spellings since medieval times, from an abbreviation of its sci-A name fam al-but al-janubi, ""the Mouth of the Southern Fish.""","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","PsA","15/12/2015"
"Formosa","HD 100655","56508","","Leo","Formosa is the historical name of Taiwan used in the 17th century, meaning beautiful in Latin.","Portuguese","2019 IAU100 NameExoWorlds","","17/12/2019"
"Franz","HAT-P-14","0","","Her","Franz is a character in the movie ""Sissi"" embodying an emperor of Austria in the XIXth century. The role is played by the actor Karlheinz Böhm.","--","2019 IAU100 NameExoWorlds","","17/12/2019"
"Fulu","HR 153","2920","ζ Cas","Cas","traditional Chinese single star asterism: an auxiliary road to Gedao; also represents the chief assistant to maintain roads. Gedao (the flying corridor) is a long chain of stars next to the Purple Palace enclosure constellation. Paradoxically, the auxiliary road is considered a single star asterism as attested in several historical star charts (e.g. the famous Suzhou map). Sun and Kistemaker (1997) who studied sources from the Han dynasty (around the year ""0"" plusminus 200 years) identify ζ Cas with this single star. Another researcher, Sun Shuwei, who dealt with the Xinyixiangfayao Star Map from Su Song (苏颂, 1020-1101 CE) identifies δ Cas. Both is plausible.","Chinese","Shi shi xingjing (Star Catalogue of the Shi Shi)","","30/06/2017"
"Fumalsamakah","HR 8773","113889","β Psc","Psc","","--","--","","01/06/2018"
"Funi","HD 109246","61177","","Dra","Funi is an old Icelandic word meaning fire or blaze.","Icelandic","2019 IAU100 NameExoWorlds","","17/12/2019"
"Furud","HR 2282","30122","ζ CMa","CMa","Ultimately from the Arabic word al-furud, ""the solitary ones"", used in an Arabic poet's allusion to anonymous ""solitary stars"" around some star hadari. The word was not intended as a name for specific stars as some later Arabic authors supposed. The attempted identity of the ""al-furud"" stars, like their companion hadari, was variously attributed to stars in today's Centaurus and Columba. The latter stars were included under Canis Maior in the Almagest, leading, in recent times, to the confused assignment of the erroneous ""Furud"".","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","20/07/2016"
"Fuyue","HR 6630","87261","G Sco","Sco","traditional Chinese single star asterism: a legendary wise minister of the Yin or Shang dynasty, 18th century BCE. According to Rufus and Tien (1945), sometimes called the invocator (regarding faults). Sun and Kistemaker (1997) quote Sima Qian that Fu Yue was a chancellor of Emperor Wu Ding of the Yin dynasty but they admit that the could also represent a shaman in the royal harem helping to produce sons. The ancient star name is typically identified with the bright star G Sco.","Chinese","Shi shi xingjing (Star Catalogue of the Shi Shi)","","30/06/2017"
"Gacrux","HR 4763","61084","γ Cru","Cru","Contraction of Gamma and Crux, appearing in the 1940s.","Contemporary","""The Observer's Handbook (1947; Royal Astronomical Society of Canada), ""The Air Almanac 1953 May-August"" (United States Naval Observatory, Washington; Her Majesty's Stationery Office, London).","","20/07/2016"
"Gakyid","HD 73534","42446","","Cnc","Gakyid means happiness. Gross National Happiness is the development philosophy conceived and followed in Bhutan and is one of Bhutan's contributions to the world.","Dzongkha","2019 IAU100 NameExoWorlds","","17/12/2019"
"Gar","GJ 486","","","Vir","“Gar” means flame in the Basque language.","Basque","NEWC Spain: Terms associated with fire, heat, and passion from the Basque language. The original names come from the popular Basque saying “su eta gar” (fire and flame), which signifies passion and enthusiasm.","","01/08/2023"
"Garnet Star","HR 8316","107259","µ Cep","Cep","Piazzi (1803) named the star Garnet Sidus due to a description by W. Herschel (1773) as ""deep garnet red""; the English name is well-established in recent literature and textbooks.","English","see ASE","","19/09/2024"
"Geminga","PSR B0633+17","0","","Gem","The star name is an Italian pun, suggested in a paper by Bignami et al. (1983): This source is in the constellation of Gemini and it is a gamma-ray source. Pronounced with both G’s as in “get,” the word means “does not exist” or “it’s not there” in Milanese dialect.","Contemporary","Bignami, G. F. ; Caraveo, P. A. ; Lamb, R. C. (1983). An identification for ""GEMINGA"" (2CG 195+04) 1E 0630+178 : a unique object in the error box of the high-energy gamma-ray source. Astrophysical Journal, Vol. 272, p. L9-L13","","04/04/2022"
"Giausar","HR 4434","56211","λ Dra","Dra","From the Persian word jauzahr, a technical term designating the nodes of the moon's or any planet's orbit. Erroneously applied as a star name to λ Dra in recent times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","01/02/2017"
"Gienah","HR 4662","59803","γ Crv","Crv","A name transferred from γ Crv in recent times, where the Arabic word janab means ""wing"" (in the Almagest, both ε Cyg and γ Crv lie on the wings of their respective constellations)","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Crv","06/11/2016"
"Ginan","HR 4700","60260","ε Cru","Cru","Ginan is the Wardaman name of ε Cru, from the Northern Territory, Australia. Ginan was found by Mulugurnden (the crayfish), who brought the red flying foxes from the underworld to the sky. The bats flew up the track of the Milky Way and traded the spiritual song with Guyaru, the Night Owl (Sirius). The bats fly through the constellation Scorpius on their way to the Southern Cross, trading songs as they go. The song informs the people about initiation, which is managed by the stars in Scorpius and related to Larawag (who ensures the appropriate personnel are present for the final stages of the ceremony). The colour of the star is reflected as the brownish-red colour of the dilly bag and its association with ceremonial fire.","Aboriginal/ Wardaman","Cairns, H. and Harney, B.Y. (2003) Dark Sparklers - Yidumduma's Aboriginal Astronomy. H.C. Cairns, Merimbula, NSW, pp. 147-149, 153.","","17/11/2017"
"Gloas","WASP-13","0","","Lyn","In Manx Gaelic, Gloas means to shine (like a star).","Manx Gaelic","2019 IAU100 NameExoWorlds","","17/12/2019"
"Gnomon","WASP-43","","","Sex","The gnomon (γνώμων) is a basic astronomical instrument, like a sundial, whose shadow length and direction can indicate time or determine latitude.","Greek","NEWC Romania: Names of ancient astronomical instruments, especially for navigation.","","01/08/2023"
"Gomeisa","HR 2845","36188","β CMi","CMi","From the ind-A surname al-ghumaisa', ""the Little Bleary-eyed One ('with a filthy fluid in the corner of the eye'),"" for α CMi. Wrongly transferred to β CMi in recent times. The original significance of the surname is unknown. Perhaps as an attempt to explain the significance of al-ghumaisa', as well as that of the surname al-<abur, ""the One Having Crossed Over [a river, etc.],"" for α CMa, an Arabic fable developed associating these and other equally enigmatic star names. According to one version of the  fable, al-ghumaisa and ai-'abur were sisters, and their brother was suhail (α Car). Suhail, in turn, was the suitor of al-jauza' (the feminine ind-A figure in place of Orion). In coitus, suhail broke the spine of al-jauza', thus killing her, after which suhail fled south. He was followed by his sister al-'abur who ""crossed over"" the Milky Way (where the two stars now lie in the southern sky). Meanwhile suhail's second sister, al-ghumaisa, was left alone north of the Milky Way, weeping, until her ""eyes became bleary."" (The ind-A name for α CMa was al-shi'ra, of unknown meaning. Apparently it was developed into a dualis form, al-shi'rayan, to accomodate both α CMa and α CMi, with the aforementioned ""surnames"" distinguishing the two.)","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","CMi","20/07/2016"
"Grumium","HR 6688","87585","ξ Dra","Dra","A Late Latin word (its correct spelling should be grunnum) meaning ""snout"" or ""muzzle (especially of a pig)"", used in the Medieval Latin Almagest in describing this star. The word was applied as a star name in recent times.","Latin","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","12/09/2016"
"Guahayona","HAT-P-26","","","Vir","Guahayona was a Taíno mythological hero who was “the one who shone with his own light” and is identified with the morning and evening “star” Venus.","Taino","NEWC Puerto Rico: Names of deities associated with creation myths and storms from the Taíno indigenous people of the Caribbean.","","01/08/2023"
"Gudja","HR 5879","77450","κ Ser","Ser","Gudja is the Wardaman name of κ Ser, from the Northern Territory, Australia. Gudja is a Water Goanna, related to birth and rebirth. It is part of the bright trio of stars in Serpens Caput, which also include Munin the Rock Cod (γ Ser) and the Mungamungga birthing place (β Ser), likened to a little hospital. Gudja is involved with the birthing process, which includes sacred ritual practices. The Spiritual Women at the birthing and blessing site in Serpens Caput are connected to the sacred areas of Crux and enacted at Munin Rock and Yinggalarri.","Aboriginal/ Wardaman","Cairns, H. and Harney, B.Y. (2003) Dark Sparklers - Yidumduma's Aboriginal Astronomy. H.C. Cairns, Merimbula, NSW. pp. 107-113.","","10/08/2018"
"Gumala","HD 179949","94645","V5652 Sgr","Sgr","Gumala is a Malay word, which means a magic bezoar stone found in snakes, dragons, etc.","Malay","2019 IAU100 NameExoWorlds","","17/12/2019"
"Guniibuu","HR 6402","84405","36 Oph","Oph","Guniibuu is the Kamilaroi/Euahlayi name for the robin red-breast bird (Petroica boodang). A traditional story links Guniibuu with Gidjirrigaa (Budgerigar) the star κ Sco.","Aboriginal/ Kamilaroi/ Euahlayi","Fuller, R.S. (2018) Aboriginal Astronomy: The Kamilaroi and Euahlayi Peoples. Brochure accompanying planisphere for school education based on knowledge from Euahlayi elder Ghillar Michael Anderson. http://www.aboriginalastronomy.com.au/content/community/kamilaroi/","","10/08/2018"
